Lineage,MIN(collection_date),数量
C.2.1,2020-12-18,163
C.20,2020-10-26,13
C.21,2020-09-15,7
C.22,2020-04-03,14
C.23,2020-05-11,178
C.25,2020-03-20,8
C.26,2020-04-28,145
C.27,2020-04-19,50
C.28,2020-04-30,41
C.29,2020-06-25,15
C.3,2020-05-20,131
C.30,2020-08-04,571
C.30.1,2020-10-05,148
C.31,2020-08-11,69
C.32,2020-05-07,51
C.33,2020-05-18,22
C.34,2020-08-06,28
C.35,2020-04-06,1318
C.36,2020-03-13,1090
C.36.1,2020-09-17,222
C.36.2,2020-10-16,29
C.36.3,2020-04-26,1886
C.36.3.1,2021-03-29,336
C.37,2020-07-21,9952
C.37.1,2021-02-10,390
C.38,2021-02-16,134
C.39,2021-02-10,26
C.4,2020-05-19,132
C.40,2021-02-02,38
C.5,2020-09-02,9
C.6,2020-05-07,6
C.7,2020-05-11,29
C.8,2020-03-23,227
C.9,2020-05-20,31
D.2,2020-03-19,13628
D.3,2020-06-14,169
D.4,2020-08-13,15
D.5,2020-10-12,208
G.1,2020-09-10,24
K.1,2020-07-23,35
K.2,2020-07-26,23
K.3,2020-08-29,162
L.1,2020-03-26,589
L.2,2020-03-23,82
L.3,2020-07-07,295
L.4,2020-06-29,23
M.1,2020-12-07,46
M.2,2020-10-26,10
M.3,2020-09-01,15
N.1,2020-03-25,37
N.10,2020-12-29,35
N.2,2020-05-16,22
N.3,2020-04-17,178
N.4,2020-03-25,242
N.5,2020-04-25,686
N.6,2020-02-16,140
N.7,2020-06-18,59
N.8,2020-04-03,36
N.9,2020-09-25,226
P.1,2020-03-04,72501
P.1.1,2020-12-23,3000
P.1.10,2021-01-26,3796
P.1.10.1,2021-04-25,84
P.1.10.2,2021-05-17,24
P.1.11,2021-05-10,122
P.1.12,2020-12-23,1348
P.1.12.1,2021-07-17,172
P.1.13,2021-02-24,1107
P.1.14,2020-04-13,18739
P.1.15,2020-08-01,4759
P.1.16,2021-01-31,2577
P.1.17,2020-07-07,6760
P.1.17.1,2021-04-02,1220
P.1.2,2020-07-22,1131
P.1.3,2021-03-12,29
P.1.4,2021-03-19,1076
P.1.5,2021-04-03,12
P.1.6,2021-03-26,568
P.1.7,2021-03-15,4179
P.1.7.1,2021-02-07,797
P.1.8,2021-05-03,282
P.1.9,2021-04-09,280
P.2,2020-04-13,6238
P.3,2021-01-08,625
P.4,2021-02-17,270
P.5,2021-03-09,58
P.6,2020-12-02,320
P.7,2020-05-29,272
Q.1,2021-01-08,6761
Q.2,2020-12-15,1664
Q.3,2020-07-08,7492
Q.4,2020-12-13,2160
Q.5,2021-04-11,52
Q.6,2021-03-02,162
Q.7,2021-01-29,898
Q.8,2021-01-27,369
R.1,2020-01-14,11240
R.2,2021-01-04,40
S.1,2020-08-18,119
U.1,2020-12-15,78
U.2,2020-11-11,100
U.3,2021-01-11,297
Unassigned,2019-12-31,165967
V.1,2020-10-05,46
V.2,2020-10-20,33
W.1,2020-10-02,116
W.2,2020-09-23,204
W.3,2020-08-18,182
W.4,2020-06-02,741
XA,2021-01-30,45
XAA,2022-02-12,96
XAB,2022-02-25,114
XAC,2022-01-11,204
XAD,2022-02-15,56
XAE,2022-02-26,127
XAF,2022-02-22,263
XAG,2022-03-10,353
XAH,2022-02-22,82
XAJ,2022-05-25,79
XAN,2022-05-25,30
XB,2020-07-08,3420
XC,2021-08-05,25
XD,2022-01-03,33
XE,2022-01-19,2723
XF,2022-01-07,34
XG,2022-01-11,477
XH,2021-12-30,169
XJ,2022-01-19,252
XK,2022-02-10,18
XL,2022-02-06,119
XM,2021-12-17,516
XN,2022-02-13,154
XP,2022-02-22,57
XQ,2022-02-12,134
XR,2022-02-13,181
XS,2022-01-19,59
XT,2021-12-13,13
XU,2022-01-20,16
XV,2022-01-31,42
XW,2022-03-13,99
XY,2022-02-28,120
XZ,2022-03-19,108
Y.1,2020-11-03,78
Z.1,2020-06-02,318
