Lineage,MIN(collection_date),数量
AY.5.2,2021-05-31,499
AY.5.3,2021-06-19,2412
AY.5.4,2021-04-09,4613
AY.5.5,2021-06-02,634
AY.5.6,2021-07-30,65
AY.5.7,2021-08-21,354
AY.50,2021-03-20,1280
AY.51,2021-03-17,1647
AY.52,2021-04-15,965
AY.53,2021-01-13,3946
AY.54,2021-02-09,12886
AY.55,2021-01-29,341
AY.56,2021-04-12,389
AY.57,2021-01-30,2534
AY.58,2021-03-16,1139
AY.59,2021-01-08,3307
AY.6,2021-03-09,28892
AY.60,2020-07-17,1070
AY.61,2021-04-13,1981
AY.62,2021-04-17,2300
AY.63,2021-06-10,2786
AY.64,2021-04-11,1909
AY.65,2020-09-11,2138
AY.66,2021-01-07,1075
AY.67,2021-04-29,2322
AY.68,2021-02-09,3049
AY.69,2021-05-15,11318
AY.7,2021-05-01,5511
AY.7.1,2021-02-09,10976
AY.7.2,2021-03-16,2280
AY.70,2021-01-07,5631
AY.71,2021-03-09,2117
AY.72,2021-05-23,1268
AY.73,2021-04-02,1470
AY.74,2020-09-19,5981
AY.75,2020-07-15,26693
AY.75.2,2020-06-05,574
AY.75.3,2021-05-17,481
AY.76,2021-05-04,383
AY.77,2020-08-11,851
AY.78,2020-10-28,833
AY.79,2021-01-03,2445
AY.8,2021-04-20,1654
AY.80,2021-02-09,1307
AY.81,2021-04-16,664
AY.82,2020-08-25,654
AY.83,2021-04-28,823
AY.84,2020-05-11,2117
AY.85,2021-01-09,5609
AY.86,2020-10-28,1527
AY.87,2021-05-18,1070
AY.88,2021-04-12,1395
AY.9,2021-01-20,15605
AY.9.2,2020-10-15,48764
AY.9.2.1,2021-07-27,146
AY.9.2.2,2021-08-18,1190
AY.90,2021-05-02,1888
AY.91,2021-02-08,1588
AY.91.1,2021-06-10,280
AY.92,2021-04-10,4604
AY.93,2021-04-05,3903
AY.94,2021-03-09,2544
AY.95,2021-01-07,1375
AY.98,2020-10-14,43422
AY.98.1,2020-11-04,33422
AY.98.1.1,2021-09-07,592
AY.99,2021-01-15,868
AY.99.1,2021-01-03,1500
AY.99.2,2021-02-02,26529
AZ.1,2021-01-22,441
AZ.2,2021-02-05,1245
AZ.2.1,2021-03-15,126
AZ.3,2021-02-08,698
AZ.4,2021-02-08,345
AZ.5,2021-01-06,517
AZ.6,2021-03-04,116
B,2019-12-26,12435
B.1,2020-01-01,128857
B.1.1,2020-01-04,61149
B.1.1.1,2020-03-02,3135
B.1.1.10,2020-03-01,984
B.1.1.100,2020-09-21,25
B.1.1.101,2020-03-31,106
B.1.1.107,2020-06-06,31
B.1.1.109,2020-06-01,24
B.1.1.110,2020-03-24,13
B.1.1.111,2020-05-01,95
B.1.1.112,2020-05-08,17
B.1.1.113,2020-03-15,156
B.1.1.114,2020-03-30,16
B.1.1.115,2020-05-09,113
B.1.1.116,2020-06-17,17
B.1.1.117,2020-04-07,131
B.1.1.118,2020-05-11,95
B.1.1.119,2020-04-06,305
B.1.1.12,2020-06-02,123
B.1.1.120,2020-06-01,33
B.1.1.121,2020-03-31,317
B.1.1.122,2020-05-24,18
B.1.1.123,2020-05-18,56
B.1.1.125,2020-05-21,99
B.1.1.127,2020-04-20,28
B.1.1.128,2020-05-19,188
B.1.1.129,2020-04-09,71
B.1.1.13,2020-03-14,19
B.1.1.130,2020-07-31,65
B.1.1.132,2020-03-17,69
B.1.1.133,2020-03-22,117
B.1.1.134,2020-03-28,90
B.1.1.135,2020-03-12,275
B.1.1.136,2020-06-03,53
B.1.1.137,2020-03-19,77
B.1.1.138,2020-04-04,164
B.1.1.139,2020-06-17,48
B.1.1.14,2020-04-16,58
B.1.1.141,2020-07-22,574
B.1.1.142,2020-03-03,44
B.1.1.144,2020-08-10,37
B.1.1.145,2020-03-31,24
B.1.1.147,2020-06-04,12
B.1.1.148,2020-04-12,122
B.1.1.149,2020-05-01,61
B.1.1.15,2020-06-09,63
B.1.1.152,2020-09-03,26
B.1.1.153,2020-08-06,924
B.1.1.154,2020-03-30,30
B.1.1.155,2020-06-02,15
B.1.1.157,2020-05-20,1174
B.1.1.158,2020-06-01,85
B.1.1.159,2020-08-14,207
B.1.1.16,2020-03-11,24
B.1.1.160,2020-05-03,10
B.1.1.161,2020-03-04,356
B.1.1.162,2020-03-21,15
B.1.1.163,2020-04-01,138
B.1.1.164,2020-03-16,184
B.1.1.165,2020-08-28,65
B.1.1.166,2020-03-15,34
B.1.1.168,2020-03-31,40
B.1.1.169,2020-05-04,57
B.1.1.17,2020-03-06,63
B.1.1.170,2020-07-19,808
B.1.1.171,2020-03-20,286
B.1.1.172,2020-04-06,53
B.1.1.174,2020-03-15,334
B.1.1.175,2020-04-29,14
B.1.1.176,2020-03-12,2747
B.1.1.177,2020-06-04,70
B.1.1.178,2020-04-02,26
B.1.1.180,2020-06-08,90
B.1.1.181,2020-03-22,99
B.1.1.182,2020-09-09,11
B.1.1.184,2020-04-03,16
B.1.1.185,2020-03-31,13
B.1.1.186,2020-06-25,317
B.1.1.187,2020-06-24,106
B.1.1.189,2020-04-11,646
B.1.1.190,2020-03-17,20
B.1.1.191,2020-03-20,212
B.1.1.192,2020-03-21,478
B.1.1.193,2020-09-30,11
B.1.1.194,2020-03-13,150
B.1.1.196,2020-08-26,170
B.1.1.197,2020-04-09,27
B.1.1.198,2020-03-09,686
B.1.1.200,2020-03-28,138
B.1.1.201,2020-04-29,52
B.1.1.202,2020-04-17,16
B.1.1.203,2020-05-20,59
B.1.1.204,2020-03-07,317
B.1.1.205,2020-05-16,233
B.1.1.207,2020-07-31,869
B.1.1.208,2020-03-22,79
B.1.1.209,2020-05-06,98
B.1.1.210,2020-03-21,190
B.1.1.213,2020-03-20,49
B.1.1.214,2020-02-22,18901
B.1.1.216,2020-05-06,1018
B.1.1.217,2020-04-26,343
B.1.1.218,2020-05-11,120
B.1.1.219,2020-08-01,199
B.1.1.220,2020-03-23,347
B.1.1.221,2020-03-29,93
B.1.1.222,2020-04-04,5578
B.1.1.224,2020-08-31,62
B.1.1.225,2020-06-16,130
B.1.1.226,2020-04-21,171
B.1.1.227,2020-06-13,230
B.1.1.228,2020-05-13,425
B.1.1.229,2020-08-18,156
B.1.1.230,2020-05-22,114
B.1.1.231,2020-03-13,348
B.1.1.232,2020-03-28,559
B.1.1.234,2020-07-20,70
B.1.1.236,2020-09-01,138
B.1.1.237,2020-05-15,185
B.1.1.239,2020-06-22,35
B.1.1.240,2020-08-27,210
B.1.1.241,2020-04-29,447
B.1.1.242,2020-07-21,24
B.1.1.243,2020-04-24,277
B.1.1.244,2020-04-07,147
B.1.1.249,2020-03-26,14
B.1.1.25,2020-03-31,2186
B.1.1.251,2020-06-02,184
B.1.1.253,2020-05-09,396
B.1.1.254,2020-03-14,89
B.1.1.255,2020-05-21,320
B.1.1.256,2020-04-30,76
B.1.1.257,2020-03-02,97
B.1.1.258,2020-05-26,320
B.1.1.26,2020-04-02,193
B.1.1.261,2020-03-31,107
B.1.1.262,2020-04-28,49
B.1.1.263,2020-04-03,678
B.1.1.265,2020-04-11,353
B.1.1.266,2020-05-23,85
B.1.1.267,2020-03-24,94
B.1.1.268,2020-05-31,67
B.1.1.269,2020-05-19,579
B.1.1.27,2020-03-21,171
B.1.1.270,2020-03-21,97
B.1.1.271,2020-03-11,20
B.1.1.272,2020-08-17,220
B.1.1.273,2020-04-23,152
B.1.1.274,2020-04-03,267
B.1.1.275,2020-03-19,70
B.1.1.277,2020-03-17,1300
B.1.1.279,2020-03-21,901
B.1.1.28,2020-03-05,4425
B.1.1.280,2020-07-30,330
B.1.1.282,2020-03-26,71
B.1.1.283,2020-03-16,45
B.1.1.284,2020-05-22,9530
B.1.1.285,2020-01-09,158
B.1.1.286,2020-06-04,344
B.1.1.288,2020-07-20,526
B.1.1.289,2020-03-20,480
B.1.1.29,2020-04-08,98
B.1.1.290,2020-05-11,57
B.1.1.291,2020-03-09,1442
B.1.1.294,2020-03-31,849
B.1.1.296,2020-03-20,53
B.1.1.297,2020-07-16,425
B.1.1.298,2020-06-08,1604
