,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
1632,B.1.1.529,B.1.1,2020-07-01,2020-01-04,179,0.0013687542,0.0013843155,0.0014267393,0.0013131129
1633,B.1.1.53,B.1.1,2020-06-04,2020-01-04,152,0.0003588415,0.0003389280,0.0005911993,0.0003571514
1634,B.1.1.54,B.1.1,2020-03-19,2020-01-04,75,0.0009405051,0.0007558780,0.0014080932,0.0009755042
1635,B.1.1.55,B.1.1,2020-04-12,2020-01-04,99,0.0007865302,0.0007467496,0.0010616047,0.0007509324
1636,B.1.1.56,B.1.1,2020-05-21,2020-01-04,138,0.0003952457,0.0003733120,0.0006511760,0.0003933842
1637,B.1.1.57,B.1.1,2020-03-31,2020-01-04,87,0.0010456396,0.0008632470,0.0013581835,0.0007197580
1638,B.1.1.58,B.1.1,2020-04-08,2020-01-04,95,0.0013256955,0.0012756578,0.0013689796,0.0012524598
1639,B.1.1.59,B.1.1,2020-06-01,2020-01-04,149,0.0006228599,0.0005871441,0.0007388174,0.0005885632
1640,B.1.1.61,B.1.1,2020-02-29,2020-01-04,56,0.0021441900,0.0020909877,0.0027303541,0.0021390044
1641,B.1.1.62,B.1.1,2020-05-07,2020-01-04,124,0.0004398702,0.0004154602,0.0007246959,0.0004377985
1642,B.1.1.63,B.1.1,2020-06-23,2020-01-04,171,0.0003334791,0.0003159233,0.0005388149,0.0003318812
1643,B.1.1.67,B.1.1,2020-03-15,2020-01-04,71,0.0016367564,0.0016283011,0.0017556113,0.0016468279
1644,B.1.1.7,B.1.1,2020-02-07,2020-01-04,241,0.0012286997,0.0012358343,0.0013217407,0.0012351364
1645,B.1.1.70,B.1.1,2020-03-06,2020-01-04,62,0.0016768258,0.0010902479,0.0015537812,0.0010616458
1646,B.1.1.71,B.1.1,2020-03-06,2020-01-04,62,0.0047990865,0.0047014308,0.0050650257,0.0044913070
1647,B.1.1.72,B.1.1,2020-07-25,2020-01-04,203,0.0008551377,0.0008583774,0.0010249196,0.0008769595
1648,B.1.1.74,B.1.1,2020-03-25,2020-01-04,81,0.0009970801,0.0010802148,0.0016216510,0.0010705127
1649,B.1.1.75,B.1.1,2020-03-17,2020-01-04,73,0.0040889917,0.0040523437,0.0043534804,0.0040823391
1650,B.1.1.77,B.1.1,2020-05-28,2020-01-04,145,0.0003761648,0.0003552901,0.0006197399,0.0003743932
1651,B.1.1.8,B.1.1,2020-03-15,2020-01-04,71,0.0042576193,0.0042594971,0.0045075923,0.0041932587
1652,B.1.1.82,B.1.1,2020-04-06,2020-01-04,93,0.0017294432,0.0016554077,0.0017902384,0.0016875588
1653,B.1.1.83,B.1.1,2020-03-21,2020-01-04,77,0.0036727586,0.0036582037,0.0038865363,0.0035991012
1654,B.1.1.84,B.1.1,2020-06-22,2020-01-04,170,0.0003208465,0.0003030415,0.0005286017,0.0003193354
1655,B.1.1.86,B.1.1,2020-05-19,2020-01-04,136,0.0006646389,0.0006464648,0.0008137914,0.0006755617
1656,B.1.1.87,B.1.1,2020-04-10,2020-01-04,97,0.0009412943,0.0009063837,0.0014282227,0.0009709386
1657,B.1.1.88,B.1.1,2020-03-20,2020-01-04,76,0.0023206289,0.0031767925,0.0020562624,0.0015666181
1658,B.1.1.89,B.1.1,2020-03-12,2020-01-04,68,0.0032292076,0.0031137099,0.0033687029,0.0032794784
1659,B.1.1.90,B.1.1,2020-04-11,2020-01-04,111,0.0016546674,0.0008536985,0.0015555683,0.0008277153
1660,B.1.1.91,B.1.1,2020-04-10,2020-01-04,97,0.0009454661,0.0009903908,0.0017981633,0.0016106223
1661,B.1.1.92,B.1.1,2020-06-07,2020-01-04,155,0.0007993775,0.0005705108,0.0009154708,0.0005927509
1662,B.1.1.93,B.1.1,2020-06-16,2020-01-04,164,0.0003325848,0.0003141284,0.0005479408,0.0003310184
1663,B.1.1.95,B.1.1,2020-04-03,2020-01-04,90,0.0012990922,0.0012694482,0.0015317443,0.0012821460
1664,B.1.1.97,B.1.1,2020-05-06,2020-01-04,123,0.0007327205,0.0007173405,0.0010606911,0.0007478031
1665,B.1.1.98,B.1.1,2020-04-05,2020-01-04,92,0.0007316103,0.0006988017,0.0011057182,0.0007287528
1666,B.1.1.99,B.1.1,2020-04-07,2020-01-04,94,0.0018206748,0.0018651484,0.0022387327,0.0018981421
