Lineage,MIN(collection_date),counts
B.1.117,2020-03-30,80
B.1.118,2020-03-09,116
B.1.119,2020-03-12,110
B.1.12,2020-03-04,124
B.1.120,2020-03-27,130
B.1.124,2020-03-19,127
B.1.126,2020-05-05,1300
B.1.127,2020-10-26,510
B.1.128,2020-03-09,1731
B.1.13,2020-03-09,431
B.1.131,2020-05-27,118
B.1.134,2020-04-03,188
B.1.137,2020-04-20,3
B.1.139,2020-03-18,1646
B.1.14,2020-03-16,57
B.1.140,2020-04-30,50
B.1.142,2020-03-12,344
B.1.143,2020-03-28,45
B.1.145,2020-04-21,20
B.1.146,2020-06-16,244
B.1.147,2020-03-04,1379
B.1.149,2020-03-31,314
B.1.151,2020-03-10,98
B.1.153,2020-03-11,62
B.1.157,2020-03-03,223
B.1.158,2020-03-13,18
B.1.159,2020-03-17,77
B.1.160,2020-01-10,29423
B.1.160.10,2020-08-27,123
B.1.160.11,2020-10-08,178
B.1.160.12,2020-10-15,161
B.1.160.13,2020-09-18,36
B.1.160.14,2020-09-01,448
B.1.160.15,2020-09-30,195
B.1.160.16,2020-09-30,1146
B.1.160.17,2020-11-09,590
B.1.160.18,2020-11-10,135
B.1.160.19,2020-11-24,27
B.1.160.20,2020-10-12,122
B.1.160.21,2020-11-24,48
B.1.160.22,2020-10-07,147
B.1.160.23,2020-09-07,199
B.1.160.24,2020-11-23,222
B.1.160.25,2020-12-16,91
B.1.160.26,2020-09-25,409
B.1.160.27,2021-01-05,62
B.1.160.28,2020-09-05,315
B.1.160.29,2020-10-22,239
B.1.160.30,2020-10-21,216
B.1.160.31,2020-10-08,119
B.1.160.32,2020-04-22,196
B.1.160.33,2020-10-30,198
B.1.160.7,2020-10-03,418
B.1.160.8,2020-10-05,691
B.1.160.9,2020-10-19,139
B.1.161,2020-03-27,57
B.1.162,2020-03-15,229
B.1.163,2020-03-16,41
B.1.164,2020-04-24,69
B.1.165,2020-05-01,71
B.1.166,2020-03-04,121
B.1.167,2020-03-27,25
B.1.168,2020-04-23,37
B.1.169,2020-03-31,64
B.1.170,2020-03-19,170
B.1.173,2020-05-16,37
B.1.177,2020-02-02,75240
B.1.177.10,2020-09-02,1146
B.1.177.11,2020-04-04,587
B.1.177.12,2020-03-30,6593
B.1.177.14,2020-07-27,167
B.1.177.15,2020-09-01,1494
B.1.177.16,2020-09-10,1479
B.1.177.17,2020-06-02,1205
B.1.177.18,2020-09-14,835
B.1.177.19,2020-09-03,591
B.1.177.2,2020-09-03,218
B.1.177.20,2020-03-21,658
B.1.177.21,2020-08-24,13117
B.1.177.23,2020-08-17,302
B.1.177.24,2020-08-17,779
B.1.177.25,2020-10-14,50
B.1.177.26,2020-10-03,143
B.1.177.27,2020-10-12,100
B.1.177.28,2020-10-18,135
B.1.177.29,2020-09-07,16
B.1.177.3,2020-08-24,119
B.1.177.30,2020-10-23,338
B.1.177.31,2020-08-24,41
B.1.177.32,2020-09-29,741
B.1.177.33,2020-09-01,486
B.1.177.34,2020-12-06,15
B.1.177.35,2020-10-17,1639
B.1.177.36,2020-09-14,60
B.1.177.37,2020-11-16,33
B.1.177.38,2020-09-11,97
B.1.177.39,2020-09-02,63
B.1.177.4,2020-06-03,4669
B.1.177.40,2020-10-14,198
B.1.177.41,2020-09-20,395
