Lineage,MIN(collection_date),counts
BE.1.1,2022-01-24,51369
BE.1.2,2022-06-19,597
BE.2,2022-01-01,1239
BE.3,2022-01-19,8046
BF.1,2020-07-23,10520
BF.1.1,2022-04-28,428
BF.10,2020-07-25,15343
BF.11,2022-06-21,1628
BF.12,2022-05-06,684
BF.13,2022-06-10,766
BF.14,2022-06-05,1077
BF.15,2022-06-16,372
BF.2,2022-04-30,1641
BF.3,2022-05-03,1674
BF.3.1,2022-05-25,267
BF.4,2022-04-29,3049
BF.5,2020-07-21,39798
BF.6,2022-05-11,1617
BF.7,2021-02-26,10857
BF.8,2022-05-07,4286
BF.9,2022-05-28,672
BG.1,2022-04-15,299
BG.2,2022-02-26,1163
BG.3,2022-05-03,181
BG.4,2022-05-01,260
BG.5,2022-04-09,1883
BG.6,2022-05-10,68
BH.1,2022-06-23,262
BJ.1,2022-06-29,107
BK.1,2022-06-03,1140
BL.1,2022-05-08,653
C.1,2020-04-12,493
C.1.1,2020-11-25,13
C.1.2,2021-05-11,342
C.10,2020-04-22,4
C.11,2020-04-01,97
C.12,2020-08-12,121
C.13,2020-03-29,45
C.14,2020-03-20,307
C.16,2020-05-29,896
C.17,2020-06-02,15
C.18,2020-07-01,198
C.19,2020-12-07,37
C.2,2020-06-09,68
C.2.1,2020-12-18,159
C.20,2020-10-26,13
C.21,2020-09-15,7
C.22,2020-04-03,13
C.23,2020-05-07,205
C.25,2020-03-20,8
C.26,2020-04-28,142
C.27,2020-04-19,50
C.28,2020-04-30,41
C.29,2020-06-25,15
C.3,2020-05-20,131
C.30,2020-08-04,570
C.30.1,2020-10-05,149
C.31,2020-08-11,68
C.32,2020-05-07,53
C.33,2020-05-18,22
C.34,2020-08-06,28
C.35,2020-04-06,1320
C.36,2020-03-13,1077
C.36.1,2020-09-17,223
C.36.2,2020-10-16,29
C.36.3,2020-04-26,1894
C.36.3.1,2021-03-29,335
C.37,2020-07-21,10001
C.37.1,2021-02-10,362
C.38,2021-02-16,122
C.39,2021-02-10,24
C.4,2020-05-19,131
C.40,2021-02-02,37
C.5,2020-09-02,10
C.6,2020-04-18,18
C.7,2020-05-11,29
C.8,2020-03-23,225
C.9,2020-05-20,32
D.2,2020-03-19,13645
D.3,2020-06-14,171
D.4,2020-08-13,15
D.5,2020-10-12,208
G.1,2020-09-10,24
K.1,2020-07-23,35
K.2,2020-07-26,22
K.3,2020-08-29,162
L.1,2020-03-26,590
L.2,2020-03-23,84
L.3,2020-07-07,295
L.4,2020-06-29,23
M.1,2020-12-07,47
M.2,2020-10-26,11
M.3,2020-09-01,15
N.1,2020-03-25,38
N.10,2020-12-29,37
N.2,2020-05-16,22
N.3,2020-04-17,178
N.4,2020-03-25,230
N.5,2020-04-25,681
N.6,2020-02-16,139
N.7,2020-06-18,59
N.8,2020-06-23,35
N.9,2020-09-25,227
P.1,2020-04-07,73568
P.1.1,2021-01-04,2797
P.1.10,2021-01-26,3812
P.1.10.1,2021-04-25,84
P.1.10.2,2021-05-17,24
P.1.11,2021-05-10,117
P.1.12,2020-12-23,1404
P.1.12.1,2021-07-17,176
P.1.13,2021-02-24,1103
P.1.14,2020-11-03,18780
P.1.15,2020-04-13,4976
P.1.16,2021-01-31,2580
P.1.17,2021-02-23,6564
P.1.17.1,2021-04-02,1223
P.1.2,2020-07-22,1148
P.1.3,2021-03-12,29
P.1.4,2021-03-19,1078
P.1.5,2021-04-03,12
P.1.6,2021-03-26,572
P.1.7,2021-03-15,4232
P.1.7.1,2021-02-07,804
P.1.8,2021-05-03,283
P.1.9,2021-04-09,286
P.2,2020-04-13,6333
P.3,2021-01-08,629
P.4,2021-02-17,271
P.5,2021-03-09,59
P.6,2020-12-02,320
P.7,2020-07-01,274
Q.1,2021-01-08,7125
Q.2,2020-08-03,1672
Q.3,2020-07-08,7530
Q.4,2020-12-13,2149
Q.5,2021-04-11,52
Q.6,2021-03-02,164
Q.7,2021-01-29,895
Q.8,2021-03-07,358
R.1,2020-01-14,11262
R.2,2021-01-08,8
S.1,2020-08-18,120
U.1,2020-12-15,77
U.2,2020-11-11,101
U.3,2021-01-11,313
Unassigned,2019-12-31,179989
V.1,2020-10-05,47
V.2,2020-10-20,33
W.1,2020-10-02,115
W.2,2020-09-23,205
W.3,2020-08-18,182
W.4,2020-06-02,742
XA,2021-01-30,45
XAA,2022-02-12,100
XAB,2022-02-25,114
XAC,2022-01-11,206
XAD,2022-02-07,93
XAE,2022-02-26,129
XAF,2022-02-22,291
XAG,2022-03-10,369
XAH,2022-02-22,164
XAJ,2022-05-06,99
XAK,2022-06-01,138
XAL,2021-12-03,124
XAM,2022-03-19,521
XAN,2022-05-10,91
XAP,2022-02-22,82
XAQ,2022-03-05,81
XAR,2022-02-02,53
XAS,2022-05-27,76
XAT,2022-03-14,76
XAU,2022-03-14,77
XB,2020-07-08,3430
XC,2021-07-29,25
XD,2022-01-03,32
XE,2022-01-19,2750
XF,2022-01-07,34
XG,2022-01-11,479
XH,2021-12-30,169
XJ,2022-01-19,251
XK,2022-02-10,18
XL,2022-02-06,119
XM,2021-12-17,538
XN,2022-02-13,208
XP,2022-02-22,57
XQ,2022-02-12,135
XR,2022-02-13,181
XS,2022-01-19,59
XT,2021-12-13,13
XU,2022-01-20,16
XV,2022-01-31,42
XW,2022-03-09,185
XY,2022-02-28,126
XZ,2022-03-19,213
Y.1,2020-11-03,77
Z.1,2020-06-02,316
