,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
393,B.1.476,B.1,2020-03-29,2020-01-01,88,0.0012013473,0.0006993043,0.0011832501,0.0007195258
394,B.1.478,B.1,2020-05-10,2020-01-01,132,0.0008008982,0.0004662028,0.0007888334,0.0004796839
395,B.1.479,B.1,2020-03-25,2020-01-01,84,0.0015746235,0.0010525201,0.0015499442,0.0010718405
396,B.1.480,B.1,2020-07-03,2020-01-01,184,0.0005745574,0.0003344499,0.0005659022,0.0003441210
397,B.1.482,B.1,2020-03-17,2020-01-01,76,0.0013910338,0.0008097207,0.0013700790,0.0008331352
398,B.1.483,B.1,2020-03-15,2020-01-01,74,0.0014286293,0.0008316051,0.0014071082,0.0008556523
399,B.1.485,B.1,2020-03-25,2020-01-01,84,0.0012585544,0.0007326045,0.0012395953,0.0007537890
400,B.1.486,B.1,2020-04-28,2020-01-01,118,0.0008959200,0.0005215150,0.0008824238,0.0005365955
401,B.1.487,B.1,2020-05-24,2020-01-01,144,0.0007341567,0.0004273526,0.0007230973,0.0004397102
402,B.1.488,B.1,2020-07-13,2020-01-01,194,0.0005449411,0.0003172102,0.0005367320,0.0003263828
403,B.1.489,B.1,2020-03-26,2020-01-01,85,0.0012437478,0.0007239856,0.0012250118,0.0007449208
404,B.1.490,B.1,2020-04-20,2020-01-01,110,0.0009610779,0.0005594434,0.0009466000,0.0005756207
405,B.1.491,B.1,2020-03-14,2020-01-01,73,0.0014481995,0.0008429969,0.0014263836,0.0008673736
406,B.1.492,B.1,2020-02-02,2020-01-01,32,0.0033037052,0.0019230867,0.0032539377,0.0019786960
407,B.1.493,B.1,2020-04-03,2020-01-01,97,0.0010898821,0.0006344204,0.0010734640,0.0006527657
408,B.1.494,B.1,2020-03-12,2020-01-01,71,0.0014889939,0.0008667433,0.0014665635,0.0008918067
409,B.1.495,B.1,2020-04-19,2020-01-01,109,0.0009698951,0.0005645759,0.0009552845,0.0005809016
410,B.1.496,B.1,2020-03-15,2020-01-01,74,0.0014286293,0.0008316051,0.0014071082,0.0008556523
411,B.1.497,B.1,2020-05-05,2020-01-01,125,0.0008457485,0.0004923102,0.0008330080,0.0005065462
412,B.1.498,B.1,2020-04-27,2020-01-01,117,0.0009035775,0.0005259724,0.0008899659,0.0005411818
413,B.1.500,B.1,2020-08-10,2020-01-01,222,0.0004762098,0.0002772017,0.0004690361,0.0002852174
414,B.1.501,B.1,2020-04-27,2020-01-01,117,0.0009035775,0.0005259724,0.0008899659,0.0005411818
415,B.1.502,B.1,2020-04-11,2020-01-01,101,0.0010467185,0.0006092948,0.0010309505,0.0006269136
416,B.1.503,B.1,2020-04-01,2020-01-01,91,0.0011617425,0.0006762503,0.0011442418,0.0006958052
417,B.1.504,B.1,2020-04-19,2020-01-01,109,0.0009698951,0.0005645759,0.0009552845,0.0005809016
418,B.1.505,B.1,2020-03-15,2020-01-01,74,0.0014286293,0.0008316051,0.0014071082,0.0008556523
419,B.1.506,B.1,2020-04-20,2020-01-01,110,0.0009610779,0.0005594434,0.0009466000,0.0005756207
420,B.1.507,B.1,2020-03-15,2020-01-01,74,0.0014286293,0.0008316051,0.0014071082,0.0008556523
421,B.1.508,B.1,2020-04-28,2020-01-01,118,0.0008959200,0.0005215150,0.0008824238,0.0005365955
422,B.1.509,B.1,2020-04-18,2020-01-01,108,0.0009788756,0.0005698035,0.0009641297,0.0005862803
423,B.1.510,B.1,2020-03-06,2020-01-01,65,0.0016264395,0.0009467504,0.0016019385,0.0009741273
424,B.1.511,B.1,2020-05-02,2020-01-01,122,0.0008665456,0.0005044162,0.0008534918,0.0005190022
425,B.1.513,B.1,2020-03-09,2020-01-01,68,0.0015546848,0.0009049820,0.0015312648,0.0009311511
426,B.1.515,B.1,2020-04-17,2020-01-01,107,0.0009880240,0.0005751287,0.0009731402,0.0005917596
427,B.1.516,B.1,2020-03-11,2020-01-01,70,0.0015102652,0.0008791254,0.0014875144,0.0009045467
428,B.1.517,B.1,2020-04-26,2020-01-01,116,0.0009113669,0.0005305067,0.0008976380,0.0005458472
429,B.1.518,B.1,2020-03-21,2020-01-01,80,0.0013214821,0.0007692347,0.0013015751,0.0007914784
430,B.1.520,B.1,2020-03-25,2020-01-01,84,0.0012585544,0.0007326045,0.0012395953,0.0007537890
431,B.1.521,B.1,2020-03-21,2020-01-01,80,0.0013214821,0.0007692347,0.0013015751,0.0007914784
432,B.1.523,B.1,2020-03-29,2020-01-01,88,0.0012013473,0.0006993043,0.0011832501,0.0007195258
433,B.1.524,B.1,2020-09-01,2020-01-01,244,0.0004332728,0.0002522081,0.0004267459,0.0002595011
434,B.1.525,B.1,2020-03-25,2020-01-01,84,0.0012601154,0.0007342260,0.0012410847,0.0007552903
435,B.1.526,B.1,2020-01-28,2020-01-01,27,0.0042454217,0.0025845690,0.0041783600,0.0026856149
436,B.1.527,B.1,2020-03-18,2020-01-01,83,0.0012737177,0.0007414310,0.0012545302,0.0007628707
437,B.1.528,B.1,2020-04-23,2020-01-01,113,0.0009355625,0.0005445909,0.0009214691,0.0005603387
438,B.1.529,B.1,2020-04-02,2020-01-01,92,0.0011491148,0.0006688997,0.0011318044,0.0006882421
439,B.1.530,B.1,2020-07-17,2020-01-01,274,0.0003858342,0.0002245941,0.0003800219,0.0002310886
440,B.1.531,B.1,2020-11-18,2020-01-01,322,0.0003283185,0.0001911142,0.0003233727,0.0001966406
441,B.1.532,B.1,2020-07-04,2020-01-01,185,0.0005714517,0.0003326420,0.0005628433,0.0003422609
442,B.1.533,B.1,2020-03-24,2020-01-01,83,0.0012737177,0.0007414310,0.0012545302,0.0007628707
443,B.1.534,B.1,2020-11-02,2020-01-01,306,0.0003454855,0.0002011071,0.0003402811,0.0002069225
444,B.1.535,B.1,2020-03-25,2020-01-01,84,0.0012585544,0.0007326045,0.0012395953,0.0007537890
445,B.1.536,B.1,2020-10-16,2020-01-01,299,0.0003535738,0.0002058153,0.0003482475,0.0002117668
446,B.1.537,B.1,2020-05-24,2020-01-01,144,0.0007341567,0.0004273526,0.0007230973,0.0004397102
447,B.1.538,B.1,2020-05-16,2020-01-01,136,0.0007773424,0.0004524910,0.0007656324,0.0004655755
448,B.1.539,B.1,2020-10-25,2020-01-01,298,0.0003547603,0.0002065060,0.0003494161,0.0002124774
449,B.1.540,B.1,2020-03-27,2020-01-01,86,0.0013075783,0.0007952181,0.0012674422,0.0008158877
450,B.1.541,B.1,2020-07-01,2020-01-01,182,0.0005808712,0.0003381251,0.0005721209,0.0003479026
451,B.1.542,B.1,2020-03-24,2020-01-01,83,0.0012737177,0.0007414310,0.0012545302,0.0007628707
452,B.1.543,B.1,2020-08-30,2020-01-01,242,0.0004368536,0.0002542925,0.0004302727,0.0002616458
453,B.1.544,B.1,2020-06-25,2020-01-01,176,0.0006006737,0.0003496521,0.0005916250,0.0003597629
454,B.1.545,B.1,2020-03-23,2020-01-01,84,0.0012585544,0.0007326045,0.0012395953,0.0007537890
455,B.1.546,B.1,2020-05-23,2020-01-01,143,0.0007392907,0.0004303411,0.0007281539,0.0004427851
456,B.1.547,B.1,2020-03-13,2020-01-01,72,0.0019470109,0.0013420906,0.0019209894,0.0013666641
457,B.1.548,B.1,2020-05-29,2020-01-01,149,0.0007095206,0.0004130119,0.0006988323,0.0004249548
458,B.1.549,B.1,2020-05-11,2020-01-01,131,0.0008070120,0.0004697616,0.0007948550,0.0004833456
459,B.1.550,B.1,2020-10-03,2020-01-01,276,0.0003830383,0.0002229666,0.0003772681,0.0002294140
460,B.1.551,B.1,2020-08-20,2020-01-01,232,0.0004556835,0.0002652533,0.0004488190,0.0002729236
461,B.1.552,B.1,2020-03-30,2020-01-01,89,0.0011878491,0.0006914469,0.0011699551,0.0007114413
462,B.1.554,B.1,2020-04-21,2020-01-01,111,0.0009524195,0.0005544034,0.0009380721,0.0005704349
463,B.1.555,B.1,2020-03-11,2020-01-01,70,0.0015102652,0.0008791254,0.0014875144,0.0009045467
464,B.1.556,B.1,2020-06-10,2020-01-01,161,0.0006566371,0.0003822284,0.0006467454,0.0003932812
465,B.1.557,B.1,2020-04-06,2020-01-01,96,0.0011012351,0.0006410289,0.0010846459,0.0006595653
466,B.1.558,B.1,2020-04-06,2020-01-01,96,0.0011012351,0.0006410289,0.0010846459,0.0006595653
467,B.1.559,B.1,2020-03-29,2020-01-01,88,0.0012013473,0.0006993043,0.0011832501,0.0007195258
468,B.1.560,B.1,2020-05-13,2020-01-01,133,0.0007948764,0.0004626976,0.0007829023,0.0004760772
469,B.1.561,B.1,2020-06-18,2020-01-01,169,0.0006359575,0.0003748760,0.0006265666,0.0003854026
470,B.1.562,B.1,2020-10-10,2020-01-01,283,0.0003735638,0.0002174515,0.0003679364,0.0002237395
471,B.1.563,B.1,2020-12-06,2020-01-01,340,0.0003109370,0.0001809964,0.0003062530,0.0001862302
472,B.1.564,B.1,2020-03-11,2020-01-01,70,0.0015102652,0.0008791254,0.0014875144,0.0009045467
473,B.1.565,B.1,2020-06-18,2020-01-01,169,0.0006255536,0.0003641348,0.0006161302,0.0003746643
474,B.1.566,B.1,2020-03-16,2020-01-01,75,0.0019394471,0.0016971632,0.0020787008,0.0014392850
475,B.1.567,B.1,2020-03-23,2020-01-01,82,0.0012892508,0.0007504729,0.0012698293,0.0007721741
476,B.1.568,B.1,2020-10-05,2020-01-01,278,0.0003802826,0.0002213625,0.0003745540,0.0002277636
477,B.1.569,B.1,2020-07-21,2020-01-01,202,0.0005233592,0.0003046474,0.0005154753,0.0003134568
478,B.1.570,B.1,2020-05-26,2020-01-01,146,0.0007240998,0.0004214985,0.0007131918,0.0004336868
