,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
115,B.1.112,B.1,2020-04-06,2020-01-01,96,0.0011195085,0.0008837625,0.0010631835,0.0004394312
116,B.1.113,B.1,2020-06-03,2020-01-01,154,0.0006864842,0.0003996024,0.0006761429,0.0004111576
117,B.1.115,B.1,2020-03-17,2020-01-01,76,0.0033086325,0.0028112458,0.0032536319,0.0028339254
118,B.1.116,B.1,2020-03-29,2020-01-01,88,0.0014844783,0.0008352108,0.0014612809,0.0004771106
119,B.1.117,B.1,2020-03-30,2020-01-01,89,0.0015633767,0.0010649003,0.0015422317,0.0010945699
120,B.1.118,B.1,2020-03-09,2020-01-01,68,0.0015546848,0.0009049820,0.0015312648,0.0009311511
121,B.1.119,B.1,2020-03-12,2020-01-01,71,0.0021029484,0.0017395286,0.0014983304,0.0018332323
122,B.1.12,B.1,2020-03-04,2020-01-01,63,0.0023567498,0.0016969865,0.0022167685,0.0017418282
123,B.1.120,B.1,2020-03-27,2020-01-01,86,0.0012292856,0.0007155672,0.0012107675,0.0007362590
124,B.1.124,B.1,2020-03-19,2020-01-01,78,0.0016283036,0.0009894466,0.0018162596,0.0010978489
125,B.1.126,B.1,2020-05-05,2020-01-01,125,0.0008421534,0.0006439589,0.0007517023,0.0002383013
126,B.1.127,B.1,2020-10-26,2020-01-01,299,0.0003535738,0.0002058153,0.0003482475,0.0002117668
127,B.1.128,B.1,2020-03-09,2020-01-01,68,0.0030846814,0.0028271731,0.0030403989,0.0029067624
128,B.1.13,B.1,2020-03-09,2020-01-01,68,0.0017987888,0.0011580316,0.0017825997,0.0011893289
129,B.1.131,B.1,2020-05-27,2020-01-01,147,0.0007976429,0.0004989970,0.0007867833,0.0005110799
130,B.1.134,B.1,2020-04-03,2020-01-01,93,0.0011683350,0.0009131769,0.0013648848,0.0009480054
131,B.1.137,B.1,2020-04-20,2020-01-01,110,0.0016533102,0.0008873927,0.0014414067,0.0009133953
132,B.1.139,B.1,2020-03-18,2020-01-01,77,0.0016371692,0.0011416702,0.0011846900,0.0005059817
133,B.1.14,B.1,2020-03-16,2020-01-01,75,0.0019949863,0.0013599389,0.0018508128,0.0013705623
134,B.1.140,B.1,2020-04-30,2020-01-01,120,0.0010703256,0.0007442379,0.0010904643,0.0007590005
135,B.1.142,B.1,2020-03-12,2020-01-01,71,0.0015781161,0.0009715327,0.0015676566,0.0010068757
136,B.1.143,B.1,2020-03-28,2020-01-01,87,0.0021038055,0.0017355213,0.0023547439,0.0020090999
137,B.1.145,B.1,2020-04-21,2020-01-01,111,0.0009524195,0.0005544034,0.0009380721,0.0005704349
138,B.1.146,B.1,2020-06-16,2020-01-01,174,0.0006075780,0.0003536711,0.0005984253,0.0003638981
139,B.1.147,B.1,2020-03-04,2020-01-01,63,0.0034375852,0.0032299566,0.0033901507,0.0032565267
140,B.1.149,B.1,2020-03-31,2020-01-01,90,0.0011746507,0.0006837642,0.0011569556,0.0007035364
141,B.1.151,B.1,2020-03-10,2020-01-01,69,0.0018333054,0.0011983611,0.0018084137,0.0012240637
142,B.1.153,B.1,2020-03-11,2020-01-01,70,0.0025498821,0.0019310482,0.0025098686,0.0019780994
143,B.1.157,B.1,2020-03-03,2020-01-01,62,0.0020032417,0.0012959717,0.0019755232,0.0013245872
144,B.1.158,B.1,2020-03-13,2020-01-01,72,0.0014683134,0.0008547052,0.0014461945,0.0008794204
145,B.1.159,B.1,2020-03-17,2020-01-01,76,0.0016145095,0.0010371368,0.0015922924,0.0010604868
146,B.1.160,B.1,2020-01-10,2020-01-01,32,0.0051430463,0.0036198237,0.0050649218,0.0033491288
147,B.1.161,B.1,2020-03-27,2020-01-01,86,0.0016870110,0.0011358806,0.0013822513,0.0011435837
148,B.1.162,B.1,2020-03-15,2020-01-01,74,0.0017822305,0.0009097942,0.0013230439,0.0010135116
149,B.1.163,B.1,2020-03-16,2020-01-01,75,0.0020813702,0.0012969339,0.0019707293,0.0013728481
150,B.1.164,B.1,2020-04-24,2020-01-01,114,0.0010107846,0.0006255841,0.0009973333,0.0006411697
151,B.1.165,B.1,2020-05-01,2020-01-01,121,0.0012655190,0.0009058884,0.0012371674,0.0009299183
152,B.1.166,B.1,2020-03-04,2020-01-01,63,0.0022344249,0.0014418506,0.0023333001,0.0012198884
153,B.1.167,B.1,2020-03-27,2020-01-01,86,0.0027243794,0.0025398031,0.0026759188,0.0025564882
154,B.1.168,B.1,2020-04-23,2020-01-01,113,0.0009355625,0.0005445909,0.0009214691,0.0005603387
155,B.1.169,B.1,2020-03-31,2020-01-01,90,0.0017330366,0.0010202931,0.0015245941,0.0010710768
156,B.1.170,B.1,2020-03-19,2020-01-01,78,0.0038863758,0.0033213060,0.0038102792,0.0034095714
157,B.1.173,B.1,2020-05-16,2020-01-01,136,0.0007773424,0.0004524910,0.0007656324,0.0004655755
158,B.1.177,B.1,2020-02-02,2020-01-01,32,0.0033642885,0.0019871319,0.0033138252,0.0020433148
159,B.1.178,B.1,2020-03-15,2020-01-01,76,0.0013910338,0.0008097207,0.0013700790,0.0008331352
160,B.1.179,B.1,2020-03-09,2020-01-01,68,0.0023420587,0.0018967025,0.0022930272,0.0016477578
161,B.1.180,B.1,2020-04-06,2020-01-01,96,0.0014249121,0.0009687672,0.0014048717,0.0009872088
162,B.1.181,B.1,2020-04-20,2020-01-01,110,0.0014119076,0.0008892260,0.0013449864,0.0009133953
163,B.1.182,B.1,2020-03-13,2020-01-01,72,0.0016065539,0.0009953561,0.0015834890,0.0010200319
164,B.1.184,B.1,2020-06-18,2020-01-01,169,0.0006255536,0.0003641348,0.0006161302,0.0003746643
165,B.1.187,B.1,2020-03-28,2020-01-01,87,0.0012151559,0.0007073422,0.0011968506,0.0007277962
166,B.1.188,B.1,2020-07-17,2020-01-01,198,0.0007612151,0.0004936831,0.0007512231,0.0005074418
167,B.1.189,B.1,2020-04-14,2020-01-01,104,0.0014061211,0.0011528603,0.0013254385,0.0011696583
168,B.1.190,B.1,2020-03-13,2020-01-01,72,0.0015127581,0.0008239536,0.0015146320,0.0009824978
169,B.1.192,B.1,2020-04-21,2020-01-01,111,0.0009524195,0.0005544034,0.0009380721,0.0005704349
170,B.1.194,B.1,2020-05-23,2020-01-01,143,0.0010156777,0.0006649045,0.0009654444,0.0006991000
171,B.1.195,B.1,2020-03-17,2020-01-01,76,0.0014279414,0.0008420879,0.0014103236,0.0008466158
172,B.1.198,B.1,2020-04-03,2020-01-01,93,0.0011367588,0.0006617073,0.0011196345,0.0006808416
173,B.1.199,B.1,2020-03-16,2020-01-01,75,0.0022580931,0.0021081300,0.0022944008,0.0021504866
174,B.1.2,B.1,2020-01-04,2020-01-01,3,0.0340244193,0.0159610754,0.0335470561,0.0154097535
175,B.1.201,B.1,2020-03-06,2020-01-01,65,0.0018480020,0.0012636571,0.0018928553,0.0013274786
176,B.1.203,B.1,2020-07-05,2020-01-01,186,0.0008832502,0.0007524783,0.0008833310,0.0006988829
177,B.1.205,B.1,2020-03-05,2020-01-01,64,0.0016518526,0.0009615434,0.0016269688,0.0009893480
178,B.1.206,B.1,2020-04-09,2020-01-01,99,0.0012537790,0.0008466674,0.0012156091,0.0009569428
179,B.1.208,B.1,2020-03-15,2020-01-01,74,0.0017836219,0.0011979106,0.0017606031,0.0012166838
