,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
89,AY.104,B.1.617.2,2021-02-12,2020-03-27,430,0.0010404915,0.0009907102,0.0005173340,0.0009920415
90,AY.105,B.1.617.2,2021-02-02,2020-03-27,404,0.0010732095,0.0010720309,0.0005219192,0.0010967675
91,AY.106,B.1.617.2,2021-03-06,2020-03-27,344,0.0012534203,0.0012700160,0.0006733845,0.0012848114
92,AY.107,B.1.617.2,2021-01-05,2020-03-27,284,0.0015501613,0.0015318592,0.0007352930,0.0015399597
93,AY.108,B.1.617.2,2020-08-11,2020-03-27,137,0.0030728207,0.0032339654,0.0015449256,0.0032422312
94,AY.109,B.1.617.2,2020-09-11,2020-03-27,168,0.0026331104,0.0025763433,0.0012238574,0.0026737051
95,AY.11,B.1.617.2,2021-04-20,2020-03-27,389,0.0011661415,0.0011734357,0.0006607868,0.0011879490
96,AY.110,B.1.617.2,2021-04-14,2020-03-27,383,0.0011621058,0.0011538635,0.0005869402,0.0011622698
97,AY.111,B.1.617.2,2021-02-05,2020-03-27,315,0.0014257156,0.0014128590,0.0007763379,0.0014536353
98,AY.112,B.1.617.2,2020-08-11,2020-03-27,137,0.0031509526,0.0032051639,0.0015307175,0.0032300527
99,AY.112.1,AY.112,2021-08-08,2020-08-11,362,0.0000000000,0.0000000000,0.0000000000,0.0000000000
100,AY.112.2,AY.112,2021-01-10,2020-08-11,152,0.0000000000,0.0000000000,0.0000000000,0.0000000000
101,AY.112.3,AY.112,2021-08-02,2020-08-11,377,0.0000000000,0.0000000000,0.0000000000,0.0000000000
102,AY.113,B.1.617.2,2020-12-16,2020-03-27,264,0.0016711809,0.0016506413,0.0008476521,0.0016885416
103,AY.114,B.1.617.2,2021-05-17,2020-03-27,416,0.0010447395,0.0010542973,0.0005195471,0.0010649885
104,AY.116,B.1.617.2,2021-01-21,2020-03-27,300,0.0014113521,0.0013930857,0.0007837215,0.0014481010
105,AY.116.1,AY.116,2021-03-23,2021-01-21,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,AY.117,B.1.617.2,2020-05-11,2020-03-27,45,0.0098522492,0.0094845616,0.0050409522,0.0099014531
107,AY.118,B.1.617.2,2020-05-24,2020-03-27,58,0.0074848654,0.0075316348,0.0038804174,0.0074305843
108,AY.119,B.1.617.2,2020-06-04,2020-03-27,69,0.0063837885,0.0063252305,0.0032572028,0.0063898678
109,AY.119.1,AY.119,2020-11-09,2020-06-04,158,0.0000000000,0.0000000000,0.0000000000,0.0000000000
110,AY.119.2,AY.119,2021-01-11,2020-06-04,221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
111,AY.120,B.1.617.2,2020-10-26,2020-03-27,213,0.0021053508,0.0021099099,0.0010742219,0.0021518711
112,AY.120.1,AY.120,2020-12-27,2020-10-26,62,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,AY.120.2,AY.120,2021-03-10,2020-10-26,142,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,AY.120.2.1,AY.120.2,2021-06-06,2021-03-10,88,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,AY.121,B.1.617.2,2020-05-11,2020-03-27,45,0.0098124533,0.0098764145,0.0050252183,0.0099932043
116,AY.121.1,AY.121,2021-01-02,2020-05-11,236,0.0000000000,0.0000000000,0.0000000000,0.0000000000
117,AY.122,B.1.617.2,2020-05-11,2020-03-27,45,0.0095504278,0.0096643011,0.0045554802,0.0098965410
118,AY.122.1,AY.122,2021-01-11,2020-05-11,245,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,AY.122.2,AY.122,2021-06-22,2020-05-11,407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
120,AY.122.3,AY.122,2021-10-04,2020-05-11,518,0.0000000000,0.0000000000,0.0000000000,0.0000000000
121,AY.122.4,AY.122,2021-05-31,2020-05-11,394,0.0000000000,0.0000000000,0.0000000000,0.0000000000
122,AY.122.5,AY.122,2021-08-08,2020-05-11,454,0.0000000000,0.0000000000,0.0000000000,0.0000000000
123,AY.122.6,AY.122,2021-09-11,2020-05-11,491,0.0000000000,0.0000000000,0.0000000000,0.0000000000
124,AY.123,B.1.617.2,2021-01-12,2020-03-27,291,0.0015057325,0.0015343732,0.0007770449,0.0015447637
125,AY.123.1,AY.123,2021-09-30,2021-01-12,261,0.0000000000,0.0000000000,0.0000000000,0.0000000000
126,AY.124,B.1.617.2,2020-05-11,2020-03-27,45,0.0098230964,0.0097548490,0.0050071199,0.0100101202
127,AY.124.1,AY.124,2021-06-21,2020-05-11,406,0.0000000000,0.0000000000,0.0000000000,0.0000000000
128,AY.124.1.1,AY.124.1,2021-06-26,2021-06-21,5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
129,AY.125,B.1.617.2,2020-08-11,2020-03-27,137,0.0032569531,0.0032235678,0.0015647247,0.0033110700
130,AY.125.1,AY.125,2021-08-02,2020-08-11,392,0.0000000000,0.0000000000,0.0000000000,0.0000000000
131,AY.126,B.1.617.2,2020-09-11,2020-03-27,201,0.0022256526,0.0022094454,0.0012120432,0.0022655329
132,AY.127,B.1.617.2,2020-09-14,2020-03-27,283,0.0015269755,0.0015493038,0.0007515296,0.0015972072
133,AY.127.1,AY.127,2021-09-04,2020-09-14,355,0.0000000000,0.0000000000,0.0000000000,0.0000000000
134,AY.127.2,AY.127,2021-10-02,2020-09-14,383,0.0000000000,0.0000000000,0.0000000000,0.0000000000
135,AY.127.3,AY.127,2022-02-01,2020-09-14,505,0.0000000000,0.0000000000,0.0000000000,0.0000000000
136,AY.128,B.1.617.2,2021-05-15,2020-03-27,414,0.0010436258,0.0010672487,0.0005852752,0.0011041246
137,AY.129,B.1.617.2,2020-05-11,2020-03-27,45,0.0098209055,0.0098282599,0.0048478698,0.0100437010
138,AY.13,B.1.617.2,2021-01-11,2020-03-27,290,0.0015194211,0.0015273042,0.0007785086,0.0015392700
139,AY.131,B.1.617.2,2021-03-29,2020-03-27,367,0.0012029862,0.0012124848,0.0006279250,0.0012063404
140,AY.132,B.1.617.2,2021-07-17,2020-03-27,487,0.0009303033,0.0009142096,0.0005492223,0.0008983996
141,AY.133,B.1.617.2,2021-07-16,2020-03-27,476,0.0009373114,0.0009223249,0.0004996373,0.0009566504
142,AY.134,B.1.617.2,2021-06-03,2020-03-27,433,0.0010427437,0.0010473684,0.0006146391,0.0010648100
143,AY.14,B.1.617.2,2021-03-30,2020-03-27,368,0.0012175706,0.0012083807,0.0005945615,0.0012176667
144,AY.15,B.1.617.2,2021-04-18,2020-03-27,399,0.0011401709,0.0011011295,0.0005719162,0.0011389675
145,AY.16,B.1.617.2,2020-09-21,2020-03-27,286,0.0014957465,0.0014982612,0.0008369538,0.0015603308
146,AY.16.1,AY.16,2021-05-04,2020-09-21,225,0.0000000000,0.0000000000,0.0000000000,0.0000000000
147,AY.17,B.1.617.2,2021-02-02,2020-03-27,312,0.0014326477,0.0014614265,0.0008608854,0.0014730367
148,AY.18,B.1.617.2,2021-05-11,2020-03-27,410,0.0013296566,0.0011142272,0.0006915821,0.0011273234
149,AY.19,B.1.617.2,2021-04-07,2020-03-27,376,0.0011472504,0.0011683345,0.0006704387,0.0011037591
150,AY.2,B.1.617.2,2021-03-31,2020-03-27,369,0.0011902981,0.0011992942,0.0006222712,0.0012079199
151,AY.20,B.1.617.2,2020-09-22,2020-03-27,179,0.0024950210,0.0024533989,0.0012016098,0.0025062213
152,AY.20.1,AY.20,2021-07-23,2020-09-22,304,0.0000000000,0.0000000000,0.0000000000,0.0000000000
153,AY.21,B.1.617.2,2021-05-26,2020-03-27,425,0.0010705021,0.0010674948,0.0005918545,0.0010877205
154,AY.22,B.1.617.2,2020-12-02,2020-03-27,250,0.0017324243,0.0017151102,0.0009322674,0.0018287624
155,AY.23,B.1.617.2,2020-03-12,2020-03-27,-15,0.0296921777,0.0284905798,0.0160829047,0.0300644278
156,AY.23.1,AY.23,2021-08-22,2020-03-12,528,0.0000000000,0.0000000000,0.0000000000,0.0000000000
157,AY.23.2,AY.23,2021-01-09,2020-03-12,303,0.0000000000,0.0000000000,0.0000000000,0.0000000000
158,AY.24,B.1.617.2,2020-07-16,2020-03-27,111,0.0039043320,0.0038280101,0.0020061697,0.0037392449
159,AY.24.1,AY.24,2021-07-19,2020-07-16,368,0.0000000000,0.0000000000,0.0000000000,0.0000000000
160,AY.25,B.1.617.2,2020-04-28,2020-03-27,32,0.0137852243,0.0136319961,0.0068664547,0.0139007091
161,AY.25.1,AY.25,2020-05-14,2020-04-28,25,0.0000000000,0.0000000000,0.0000000000,0.0000000000
162,AY.25.1.1,AY.25.1,2021-07-26,2020-05-14,438,0.0000000000,0.0000000000,0.0000000000,0.0000000000
163,AY.25.1.2,AY.25.1,2021-08-03,2020-05-14,446,0.0000000000,0.0000000000,0.0000000000,0.0000000000
164,AY.25.2,AY.25,2020-07-31,2020-04-28,94,0.0000000000,0.0000000000,0.0000000000,0.0000000000
165,AY.25.3,AY.25,2020-09-18,2020-04-28,143,0.0000000000,0.0000000000,0.0000000000,0.0000000000
166,AY.26,B.1.617.2,2020-07-31,2020-03-27,126,0.0034915446,0.0034922067,0.0017001378,0.0035321742
167,AY.26.1,AY.26,2021-06-25,2020-07-31,329,0.0000000000,0.0000000000,0.0000000000,0.0000000000
168,AY.27,B.1.617.2,2021-04-06,2020-03-27,375,0.0011796365,0.0011677262,0.0006933684,0.0012266883
169,AY.28,B.1.617.2,2021-02-16,2020-03-27,409,0.0011068060,0.0010838919,0.0005863312,0.0010833981
170,AY.29,B.1.617.2,2021-01-28,2020-03-27,307,0.0014979538,0.0014868489,0.0009022931,0.0015039591
171,AY.29.1,AY.29,2021-03-09,2021-01-28,40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
172,AY.29.2,AY.29,2021-07-16,2021-01-28,169,0.0000000000,0.0000000000,0.0000000000,0.0000000000
173,AY.3,B.1.617.2,2020-05-07,2020-03-27,41,0.0106243562,0.0106023453,0.0052699846,0.0108165183
174,AY.3.1,AY.3,2020-11-20,2020-05-07,197,0.0000000000,0.0000000000,0.0000000000,0.0000000000
175,AY.3.2,AY.3,2021-08-04,2020-05-07,454,0.0000000000,0.0000000000,0.0000000000,0.0000000000
176,AY.3.3,AY.3,2021-08-05,2020-05-07,455,0.0000000000,0.0000000000,0.0000000000,0.0000000000
177,AY.3.4,AY.3,2021-11-06,2020-05-07,548,0.0000000000,0.0000000000,0.0000000000,0.0000000000
178,AY.30,B.1.617.2,2020-03-31,2020-03-27,4,0.1081791173,0.1096700583,0.0532961648,0.1100961200
179,AY.31,B.1.617.2,2021-06-30,2020-03-27,460,0.0009707692,0.0009867440,0.0005055476,0.0010047883
180,AY.32,B.1.617.2,2021-04-16,2020-03-27,385,0.0011548932,0.0011148106,0.0006217688,0.0011753515
181,AY.33,B.1.617.2,2020-10-26,2020-03-27,213,0.0020799901,0.0020833089,0.0010477779,0.0021194315
182,AY.33.1,AY.33,2021-04-23,2020-10-26,179,0.0000000000,0.0000000000,0.0000000000,0.0000000000
183,AY.33.2,AY.33,2021-04-13,2020-10-26,169,0.0000000000,0.0000000000,0.0000000000,0.0000000000
184,AY.34,B.1.617.2,2020-05-09,2020-03-27,236,0.0018716442,0.0018153442,0.0009206240,0.0017067365
185,AY.34.1,AY.34,2020-04-01,2020-05-09,-38,0.0000000000,0.0000000000,0.0000000000,0.0000000000
186,AY.34.1.1,AY.34.1,2021-07-14,2020-04-01,469,0.0000000000,0.0000000000,0.0000000000,0.0000000000
187,AY.34.2,AY.34,2021-07-12,2020-05-09,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
188,AY.35,B.1.617.2,2021-01-11,2020-03-27,290,0.0014935856,0.0014852904,0.0006920775,0.0014649292
189,AY.36,B.1.617.2,2020-08-11,2020-03-27,137,0.0031549697,0.0031213473,0.0015015886,0.0032877286
190,AY.36.1,AY.36,2021-04-13,2020-08-11,245,0.0000000000,0.0000000000,0.0000000000,0.0000000000
191,AY.37,B.1.617.2,2021-02-18,2020-03-27,328,0.0013300086,0.0013548473,0.0006475428,0.0013494633
192,AY.38,B.1.617.2,2021-03-18,2020-03-27,365,0.0011642894,0.0011995267,0.0006297278,0.0011988232
193,AY.39,B.1.617.2,2020-05-28,2020-03-27,62,0.0068411893,0.0067941961,0.0038775004,0.0068854663
194,AY.39.1,AY.39,2021-01-06,2020-05-28,223,0.0000000000,0.0000000000,0.0000000000,0.0000000000
195,AY.39.1.1,AY.39.1,2021-05-09,2021-01-06,123,0.0000000000,0.0000000000,0.0000000000,0.0000000000
196,AY.39.1.2,AY.39.1,2021-06-25,2021-01-06,170,0.0000000000,0.0000000000,0.0000000000,0.0000000000
197,AY.39.1.3,AY.39.1,2021-07-25,2021-01-06,200,0.0000000000,0.0000000000,0.0000000000,0.0000000000
198,AY.39.1.4,AY.39.1,2021-06-22,2021-01-06,167,0.0000000000,0.0000000000,0.0000000000,0.0000000000
199,AY.39.2,AY.39,2021-07-06,2020-05-28,404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
200,AY.39.3,AY.39,2021-08-06,2020-05-28,435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
201,AY.4,B.1.617.2,2020-05-11,2020-03-27,45,0.0100440320,0.0100279383,0.0052957296,0.0101537179
202,AY.4.1,AY.4,2021-05-10,2020-05-11,364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
203,AY.4.10,AY.4,2021-08-11,2020-05-11,457,0.0000000000,0.0000000000,0.0000000000,0.0000000000
204,AY.4.11,AY.4,2020-04-01,2020-05-11,-40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
205,AY.4.12,AY.4,2021-07-21,2020-05-11,437,0.0000000000,0.0000000000,0.0000000000,0.0000000000
206,AY.4.13,AY.4,2021-06-08,2020-05-11,393,0.0000000000,0.0000000000,0.0000000000,0.0000000000
207,AY.4.14,AY.4,2021-07-14,2020-05-11,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
208,AY.4.15,AY.4,2021-07-01,2020-05-11,416,0.0000000000,0.0000000000,0.0000000000,0.0000000000
209,AY.4.16,AY.4,2021-08-21,2020-05-11,467,0.0000000000,0.0000000000,0.0000000000,0.0000000000
210,AY.4.17,AY.4,2021-08-04,2020-05-11,450,0.0000000000,0.0000000000,0.0000000000,0.0000000000
211,AY.4.2,AY.4,2021-01-01,2020-05-11,235,0.0000000000,0.0000000000,0.0000000000,0.0000000000
212,AY.4.2.1,AY.4.2,2020-12-21,2021-01-01,-11,0.0000000000,0.0000000000,0.0000000000,0.0000000000
213,AY.4.2.2,AY.4.2,2021-01-08,2021-01-01,101,0.0000000000,0.0000000000,0.0000000000,0.0000000000
214,AY.4.2.3,AY.4.2,2021-06-07,2021-01-01,165,0.0000000000,0.0000000000,0.0000000000,0.0000000000
215,AY.4.2.4,AY.4.2,2021-08-01,2021-01-01,212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
216,AY.4.2.5,AY.4.2,2021-10-22,2021-01-01,294,0.0000000000,0.0000000000,0.0000000000,0.0000000000
217,AY.4.3,AY.4,2021-06-22,2020-05-11,407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
218,AY.4.4,AY.4,2021-01-19,2020-05-11,253,0.0000000000,0.0000000000,0.0000000000,0.0000000000
219,AY.4.5,AY.4,2020-12-04,2020-05-11,245,0.0000000000,0.0000000000,0.0000000000,0.0000000000
220,AY.4.6,AY.4,2020-06-11,2020-05-11,31,0.0000000000,0.0000000000,0.0000000000,0.0000000000
221,AY.4.7,AY.4,2021-03-16,2020-05-11,309,0.0000000000,0.0000000000,0.0000000000,0.0000000000
222,AY.4.8,AY.4,2021-06-29,2020-05-11,414,0.0000000000,0.0000000000,0.0000000000,0.0000000000
223,AY.4.9,AY.4,2020-08-11,2020-05-11,92,0.0000000000,0.0000000000,0.0000000000,0.0000000000
224,AY.40,B.1.617.2,2021-07-10,2020-03-27,470,0.0009482458,0.0009716446,0.0005864243,0.0009831983
225,AY.41,B.1.617.2,2020-08-11,2020-03-27,137,0.0031650030,0.0032636493,0.0016205576,0.0032292466
226,AY.42,B.1.617.2,2020-10-06,2020-03-27,193,0.0022840589,0.0022925315,0.0011393788,0.0023234885
227,AY.42.1,AY.42,2021-07-12,2020-10-06,279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
228,AY.43,B.1.617.2,2020-05-01,2020-03-27,45,0.0097451374,0.0098084573,0.0049968445,0.0099814599
229,AY.43.1,AY.43,2021-07-19,2020-05-01,444,0.0000000000,0.0000000000,0.0000000000,0.0000000000
230,AY.43.2,AY.43,2021-07-04,2020-05-01,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
231,AY.43.3,AY.43,2021-07-12,2020-05-01,437,0.0000000000,0.0000000000,0.0000000000,0.0000000000
232,AY.43.4,AY.43,2020-10-28,2020-05-01,180,0.0000000000,0.0000000000,0.0000000000,0.0000000000
233,AY.43.5,AY.43,2021-10-22,2020-05-01,539,0.0000000000,0.0000000000,0.0000000000,0.0000000000
234,AY.43.6,AY.43,2021-08-23,2020-05-01,479,0.0000000000,0.0000000000,0.0000000000,0.0000000000
235,AY.43.7,AY.43,2021-08-31,2020-05-01,487,0.0000000000,0.0000000000,0.0000000000,0.0000000000
236,AY.43.8,AY.43,2021-01-12,2020-05-01,256,0.0000000000,0.0000000000,0.0000000000,0.0000000000
237,AY.43.9,AY.43,2021-09-16,2020-05-01,503,0.0000000000,0.0000000000,0.0000000000,0.0000000000
238,AY.44,B.1.617.2,2020-05-20,2020-03-27,54,0.0081535594,0.0080437476,0.0038954834,0.0081678813
239,AY.45,B.1.617.2,2020-07-11,2020-03-27,111,0.0038292550,0.0037034345,0.0021862237,0.0035647187
240,AY.46,B.1.617.2,2020-06-01,2020-03-27,66,0.0065735513,0.0064788329,0.0029261257,0.0067998488
241,AY.46.1,AY.46,2021-06-25,2020-06-01,389,0.0000000000,0.0000000000,0.0000000000,0.0000000000
242,AY.46.2,AY.46,2021-03-09,2020-06-01,281,0.0000000000,0.0000000000,0.0000000000,0.0000000000
243,AY.46.3,AY.46,2021-06-21,2020-06-01,385,0.0000000000,0.0000000000,0.0000000000,0.0000000000
244,AY.46.4,AY.46,2020-11-09,2020-06-01,161,0.0000000000,0.0000000000,0.0000000000,0.0000000000
245,AY.46.5,AY.46,2021-02-06,2020-06-01,250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
246,AY.46.6,AY.46,2020-08-11,2020-06-01,71,0.0000000000,0.0000000000,0.0000000000,0.0000000000
247,AY.46.6.1,AY.46.6,2021-10-17,2020-08-11,432,0.0000000000,0.0000000000,0.0000000000,0.0000000000
