,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
1203,B.23,B,2020-02-28,2019-12-26,64,0.0024589969,0.0021013291,0.0022518887,0.0027122264
1204,B.26,B,2020-03-17,2019-12-26,82,0.0018943191,0.0016150064,0.0017325446,0.0020923190
1205,B.27,B,2020-03-03,2019-12-26,68,0.0022843260,0.0019475078,0.0020892450,0.0025230906
1206,B.28,B,2020-03-06,2019-12-26,71,0.0024568353,0.0021340711,0.0022638328,0.0026796509
1207,B.29,B,2020-02-27,2019-12-26,63,0.0026733628,0.0022892789,0.0024457562,0.0028629978
1208,B.3,B,2020-02-23,2019-12-26,59,0.0030802067,0.0026778102,0.0028383187,0.0033413182
1209,B.30,B,2020-03-09,2019-12-26,74,0.0020991104,0.0017896017,0.0019198467,0.0023185157
1210,B.31,B,2020-03-03,2019-12-26,68,0.0024908871,0.0021367505,0.0022965711,0.0027300711
1211,B.32,B,2020-03-13,2019-12-26,78,0.0019914637,0.0016978273,0.0018213931,0.0021996174
1212,B.33,B,2020-03-03,2019-12-26,68,0.0022843260,0.0019475078,0.0020892450,0.0025230906
1213,B.34,B,2020-03-13,2019-12-26,78,0.0019914637,0.0016978273,0.0018213931,0.0021996174
1214,B.35,B,2020-03-05,2019-12-26,70,0.0029299539,0.0026263900,0.0027446094,0.0031671509
1215,B.36,B,2020-03-17,2019-12-26,82,0.0027508362,0.0024178343,0.0025865547,0.0030155619
1216,B.37,B,2020-03-12,2019-12-26,77,0.0020173268,0.0017198770,0.0018450475,0.0022281839
1217,B.38,B,2020-03-07,2019-12-26,72,0.0023724943,0.0020557771,0.0021893924,0.0025948352
1218,B.39,B,2020-02-25,2019-12-26,61,0.0027506525,0.0023759431,0.0025318675,0.0030132927
1219,B.4,B,2020-01-18,2019-12-26,23,0.0151882817,0.0142082889,0.0147258598,0.0156769241
1220,B.40,B,2020-02-09,2019-12-26,45,0.0036470464,0.0031566268,0.0033874608,0.0040421758
1221,B.41,B,2020-02-06,2019-12-26,42,0.0043026822,0.0039168822,0.0039806786,0.0047393992
1222,B.42,B,2020-01-29,2019-12-26,34,0.0064508104,0.0051917328,0.0063913160,0.0072728256
1223,B.43,B,2020-01-26,2019-12-26,31,0.0065662945,0.0049866318,0.0064045369,0.0073542363
1224,B.44,B,2020-03-17,2019-12-26,82,0.0018943191,0.0016150064,0.0017325446,0.0020923190
1225,B.45,B,2020-03-13,2019-12-26,78,0.0019914637,0.0016978273,0.0018213931,0.0021996174
1226,B.46,B,2020-03-15,2019-12-26,80,0.0020358534,0.0017150630,0.0018091850,0.0023089732
1227,B.47,B,2020-03-06,2019-12-26,71,0.0021878052,0.0018652187,0.0020009670,0.0024164811
1228,B.49,B,2020-03-09,2019-12-26,74,0.0020991104,0.0017896017,0.0019198467,0.0023185157
1229,B.5,B,2020-02-05,2019-12-26,41,0.0070378886,0.0067785366,0.0069071562,0.0069547271
1230,B.50,B,2020-03-14,2019-12-26,79,0.0029968908,0.0029261366,0.0028312000,0.0030443531
1231,B.51,B,2020-03-18,2019-12-26,83,0.0018714960,0.0015955485,0.0017116706,0.0020671104
1232,B.52,B,2020-03-12,2019-12-26,77,0.0023532495,0.0020580071,0.0021774176,0.0025590801
1233,B.53,B,2020-02-07,2019-12-26,43,0.0067945528,0.0063826463,0.0066050220,0.0072002032
1234,B.55,B,2020-01-29,2019-12-26,34,0.0048570523,0.0041868823,0.0044689317,0.0053303872
1235,B.56,B,2020-03-14,2019-12-26,79,0.0028573049,0.0024703794,0.0026362256,0.0031300769
1236,B.57,B,2020-03-02,2019-12-26,67,0.0024744032,0.0021335569,0.0022772309,0.0027144604
1237,B.58,B,2020-03-04,2019-12-26,69,0.0023484721,0.0020171545,0.0021567266,0.0025823695
1238,B.6,B,2020-01-13,2019-12-26,50,0.0062205288,0.0061290964,0.0061763998,0.0067664634
1239,B.60,B,2020-03-04,2019-12-26,69,0.0022512198,0.0019192830,0.0020589661,0.0024865241
1240,B.61,B,2020-02-09,2019-12-26,45,0.0038663373,0.0033600582,0.0035634693,0.0042210154
1241,AY.26.1,AY.26,2021-06-25,2020-07-31,329,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1242,B.1.9.1,B.1.9,2020-03-31,2020-03-04,27,0.0014285567,0.0008512787,0.0016410299,0.0010932968
1243,B.1.9.2,B.1.9,2020-04-20,2020-03-04,47,0.0008206602,0.0004890324,0.0009427193,0.0006280641
1244,B.1.9.3,B.1.9,2020-03-17,2020-03-04,13,0.0049217719,0.0037200760,0.0053459843,0.0042191517
1245,B.1.9.4,B.1.9,2020-03-21,2020-03-04,17,0.0022688842,0.0013520309,0.0026063417,0.0017364126
1246,B.1.9.5,B.1.9,2020-03-14,2020-03-04,10,0.0075264898,0.0059349654,0.0077891299,0.0065816273
1247,BA.2.23.1,BA.2.23,2021-12-30,2020-10-11,499,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1248,Q.1,B.1.1.7,2021-01-08,2020-02-07,336,0.0001505474,0.0001189830,0.0001919213,0.0001377308
1249,Q.2,B.1.1.7,2020-08-03,2020-02-07,312,0.0001457694,0.0001113238,0.0001893899,0.0001315526
1250,Q.3,B.1.1.7,2020-07-08,2020-02-07,152,0.0002966088,0.0002258449,0.0003882618,0.0002672859
1251,Q.4,B.1.1.7,2020-12-13,2020-02-07,310,0.0001798762,0.0001451284,0.0002229553,0.0001652443
1252,Q.5,B.1.1.7,2021-04-11,2020-02-07,429,0.0002390736,0.0002024891,0.0002742685,0.0002002091
1253,Q.6,B.1.1.7,2021-03-02,2020-02-07,389,0.0001158985,0.0000882479,0.0001517116,0.0001044407
1254,Q.7,B.1.1.7,2021-01-29,2020-02-07,357,0.0001262872,0.0000961581,0.0001653104,0.0001138024
1255,Q.8,B.1.1.7,2021-03-07,2020-02-07,394,0.0004138538,0.0004296378,0.0004478565,0.0005297438
1256,AY.34.1,AY.34,2020-04-01,2020-05-09,-38,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1257,AY.34.2,AY.34,2021-07-12,2020-05-09,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1258,AY.9.2,AY.9,2020-10-15,2021-01-20,-97,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1259,B.1.1.1,B.1.1,2020-03-02,2020-01-04,58,0.0017266650,0.0016799437,0.0023125971,0.0017275835
1260,B.1.1.10,B.1.1,2020-03-01,2020-01-04,57,0.0019189860,0.0018711600,0.0025132001,0.0019192322
1261,B.1.1.100,B.1.1,2020-09-21,2020-01-04,261,0.0003183806,0.0003077734,0.0004515155,0.0003180331
1262,B.1.1.101,B.1.1,2020-03-31,2020-01-04,87,0.0034700721,0.0034235518,0.0037259705,0.0035249253
1263,B.1.1.107,B.1.1,2020-06-06,2020-01-04,154,0.0005395931,0.0005216159,0.0007652308,0.0005390041
1264,B.1.1.109,B.1.1,2020-06-01,2020-01-04,149,0.0005577003,0.0005391198,0.0007909097,0.0005570915
1265,B.1.1.110,B.1.1,2020-03-24,2020-01-04,80,0.0010387167,0.0010041106,0.0014730694,0.0010375830
1266,B.1.1.111,B.1.1,2020-05-01,2020-01-04,118,0.0007630693,0.0007396450,0.0010564855,0.0007640581
1267,B.1.1.112,B.1.1,2020-05-08,2020-01-04,125,0.0006647787,0.0006426308,0.0009427644,0.0006640531
1268,B.1.1.113,B.1.1,2020-03-15,2020-01-04,71,0.0011600463,0.0011923872,0.0015766185,0.0012300292
